Year_of_publication,Country,Continent,Title 
2000,Korea,Asia,Molecular epidemiology of rabies virus isolates from Israel and other middle- and Near-Eastern countries
2001,Tanzania,Africa,Regular exposure to rabies virus and lack of symptomatic disease in Serengeti spotted hyenas
2002,South Africa and Zimbabwe,Africa,Molecular epidemiology of canid rabies in Zimbabwe and South Africa
2002,Philippines,Asia,Genetic analysis of rabies virus isolates in the Philippines
2003,Philippines,Asia,Case report: rapid ante-mortem diagnosis of a human case of rabies imported into the UK from the Philippines
2003,Thailand,Asia,Genetic characterization of rabies field isolates from Thailand
2003,Iran,Asia,Molecular and antigenic characterization of rabies viruses from Iran identifies variants with distinct epidemiological origins
2003,Taiwan,Asia,Rabies in Sri Lanka: Splendid isolation
2004,Sudan and Ethiopia,Africa,Molecular epidemiology of canid rabies in Sudan: evidence for a common origin of rabies with Ethiopia
2004,Botswana,Africa,Molecular epidemiology of rabies in Botswana a comparison between antibody typing and nucleotide sequence phylogeny
2004,Ethiopia,Africa,Rabies in Endangered Ethiopian Wolves
2004,Colombia,Americas,A phylogenetic reconstruction of the epidemiological history of canine rabies virus variants in Colombia
2005,Korea,Asia,Molecular epidemiology of rabies virus isolates from South Korea
2005,Vietnam ,Asia,Transmission dynamics of rabies virus in Thailand: Implications for disease control
2005,Brazil,Americas,Detection and characterization of rabies virus in Southern Brazil by PCR amplification and sequencing of the nucleoprotein gene
2005,Colombia,Americas,Molecular epidemiology of rabies in northern Colombia 1994-2003. Evidence for human and fox rabies associated with dogs
2005,Mexico,Americas,Molecular epizootiology of rabies associated with terrestrial carnivores in Mexico
2005,Brazil,Americas,Rapid discrimination of rabies viruses isolated from various host species in Brazil by multiplex reverse transcription-polymerase chain reaction
2006,Namibia,Africa,A molecular epidemiological study of rabies epizootics in kudu (Tragelaphus strepsiceros) in Namibia.
2006,Thailand,Asia,"Complex genetic structure of the rabies virus in Bangkok and its surrounding provinces, Thailand: implications for canine rabies control"
2006,Thailand,Asia,Genetic analysis of dog rabies viruses circulating in Bangkok
2006,China,Asia,Molecular characterization of rabies virus isolates in China during 2004
2006,India,Asia,Molecular epidemiology of rabies virus isolates in India
2006,Brazil,Americas,Molecular epidemiology of rabies from Maranhão and surrounding states in the northeastern region of Brazil
2006,Brazil,Americas,Molecular epidemiology of rabies virus strains isolated from wild canids in Northeastern Brazil
2006,Brazil,Americas,"Rabies virus maintained by dogs in humans and terrestrial wildlife, Ceará State, Brazil"
2007,South Africa,Africa,Emerging epidemic dog rabies in coastal South Africa: a molecular epidemiological analysis
2007,South Africa,Africa,"Epidemiology and molecular virus characterization of reemerging rabies, South Africa "
2007,Tanzania,Africa,Molecular epidemiology identifies only a single rabies virus variant circulating in complex carnivore communities of the Serengeti
2007,South Africa,Africa,Molecular epidemiology of rabies in bat-eared foxes (Otocyon megalotis) in South Africa
2007,Burkina Faso,Africa,"Phylogenetic analysis of rabies viruses from Burkina Faso, 2007"
2007,South Africa,Africa,Use of a molecular epidemiological database to track human rabies case histories in South Africa
2007,India,Asia,Emergence of Arctic-like rabies lineage in India
2007,Russia,Asia,"Genetic heterogeneity of Russian, Estonian and Finnish field rabies viruses"
2007,China,Asia,"Molecular epidemiology of rabies in Guangxi Province, south of China"
2007,Vietnam ,Asia,Molecular epidemiology of rabies in Vietnam
2007,Colombia,Americas,Molecular epidemiology of rabies in Colombia 1994-2005 based on partial nucleoprotein gene sequences
2007,Brazil,Americas,Phylogenetic characterization of rabies virus isolates from Carnivora in Brazil
2008,Central Africa,Africa,Evolutionary history and dynamics of dog rabies virus in western and central Africa
2008,Tanzania,Africa,Exploring reservoir dynamics: a case study of rabies in the Serengeti ecosystem
2008,Chad,Africa,Rabies Diagnosis for Developing Countries
2008,Globally- 55 countires,Africa,The origin and phylogeography of dog rabies virus
2008,China,Asia,"An outbreak of pig rabies in Hunan province, China"
2008,India,Asia,Molecular characterization of the full-length genome of a rabies virus isolate from India
2008,Indonesia,Asia,Molecular epidemiology of rabies in Indonesia
2008,Mexico,Americas,Identification of New Rabies Virus Variant in Mexican Immigrant
2008,Brazil,Americas,Species Determination of Brazilian Mammals Implicated in the Epidemiology of Rabies Based on the Control Region of Mitochondrial DNA
2008,China  ,Asia,"Human rabies case with long incubation, Australia"
2009,Tanzania,Africa,"Antigenic and genetic characterization of a divergent African virus, Ikoma lyssavirus"
2009,Uganda,Africa,Molecular epidemiology of rabies virus isolates in Uganda
2009,South Africa,Africa,Molecular epidemiology of rabies: focus on domestic dogs (Canis familiaris) and black-backed jackals (Canis mesomelas) from northern South Africa
2009,Sudan,Africa,Phylogenetic analysis of rabies viruses from Sudan provides evidence of        a viral clade with a unique molecular signature.
2009,South Africa ,Africa,The spread of canine rabies into Free State province of South Africa: A molecular epidemiological characterization
2009,Israel,Asia,Emergence of dog rabies in the northern region of  Israel
2009,China,Asia,Genetic diversity of Chinese rabies viruses: evidence for the presence of two distinct clades in China
2009,China,Asia,Molecular characterization of the complete genome of a street rabies virus isolated in China
2009,China,Asia,Molecular epidemiology of rabies in Southern People's Republic of China
2009,India,Asia,Phylogenetic analysis of nucleoprotein gene of dog rabies virus isolates from Southern India
2009,China,Asia,"Rabies in ferret badgers, southeastern China"
2009,Brazil,Americas,Molecular characterization of Rabies Virus isolates from dogs and crab-eating foxes in Northeastern Brazil
2010,Ethiopia,Africa,A new outbreak of rabies in rare Ethiopian wolves (Canis simensis)
2010,South Africa,Africa,"Epidemiology of human rabies in South Africa, 1983-2007 "
2010,Tunisia,Africa,Molecular characterization of rabies virus isolated from dogs in Tunisia: evidence of two phylogenetic variants (report)
2010,"Algeria, Tunisia, Morroco and Spain",Africa,Phylodynamics and human-mediated dispersal of a zoonotic virus
2010,China,Asia,Characterization of a rabies virus isolate from a ferret badger (Melogale moschata) with unique molecular differences in glycoprotein antigenic site III
2010,India,Asia,Evolutionary dynamics of rabies viruses highlights the importance of China rabies transmission in Asia
2010,China,Asia,Ferret badger rabies origin and its revisited importance as potential source of rabies transmission in Southeast China
2010,Qatar,Asia,"Imported Human Rabies, the Philippines and Finland, 2007"
2010,Mongolia ,Asia,"Molecular epidemiology of rabies virus in Mongolia, 2005-2008"
2010,China,Asia,Sequence analyses on N gene of rabies viruses isolated from Guangdong Province
2010,China,Asia,Temporal and spatial dynamics of rabies viruses in China and Southeast Asia
2010,China,Asia,Transmission dynamics of rabies in China over the last 40 years: 1969-2009
2010,Nepal,Asia,Characterization of rabies virus from a human case in Nepal
2011,Ghana,Africa,Evolutionary history of rabies in Ghana
2011,Zambai,Africa,Molecular epidemiology and a loop-mediated isothermal amplification method for diagnosis of infection with rabies virus in Zambia
2011,Nigeria,Africa,Phylogenetic Evidence of the Public and Veterinary Health Threat of Dog Rabies in Nigeria
2011,China,Asia,"An outbreak of sheep rabies in Shanxi province, China"
2011,China,Asia,"Genetic evidence for domestic raccoon dog rabies caused by Arctic-like rabies virus in Inner Mongolia, China"
2011,Korea,Asia,Molecular characterization of Korean rabies virus isolates
2011,Korea,Asia,"Molecular epidemiology of rabies virus circulating in South Korea, 1998-2010"
2011,China,Asia,Molecular Epidemiology of Rabies Virus in Vietnam (2006-2009)
2011,Bhutan,Asia,Rabies virus strains circulating in Bhutan: implications for control
2011,Brazil,Americas,Evolutionary history of dog rabies in Brazil
2011,Brazil,Americas,Phylogeography of rabies virus isolated from dogs in Brazil between 1985 and 2006
2012,Tanzania,Africa,Integrating the landscape epidemiology and genetics of RNA viruses: rabies in domestic dogs as a model (no sequencing data rather a descripive study and modelling)
2012,Bangladesh,Asia,"Arctic-like rabies virus, Bangladesh"
2012,China,Asia,"Molecular characterization of viral G gene in emerging and re-emerging areas of rabies in China, 2007 to 2011"
2012,China,Asia,The full-length genome analysis of a street rabies virus strain isolated in Yunnan province of China
2012,China,Asia,The Spatial and Temporal Dynamics of Rabies in China
