Country ,Continent,Year_of_publication,Title 
Afghanistan,Asia,2015,Complex Epidemiology of a Zoonotic Disease in a Culturally Diverse Region: Phylogeography of Rabies Virus in the Middle East
Algeria,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Algeria,Africa,2010,Phylodynamics and human-mediated dispersal of a zoonotic virus
Argentina,Americas,2017,The history of rabies in the Western Hemisphere
Azerbaijan,Asia,2015,Complex Epidemiology of a Zoonotic Disease in a Culturally Diverse Region: Phylogeography of Rabies Virus in the Middle East
Azerbaijan,Asia,2015,Epidemiological Characteristics of Human and Animal Rabies in Azerbaijan
Bangladesh,Asia,2012,"Arctic-like rabies virus, Bangladesh"
Belize,Americas,2017,The history of rabies in the Western Hemisphere
Benin,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Bhutan,Asia,2011,Rabies virus strains circulating in Bhutan: implications for control
Bolivia,Americas,2017,The history of rabies in the Western Hemisphere
Botswana,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Botswana,Africa,2004,Molecular epidemiology of rabies in Botswana a comparison between antibody typing and nucleotide sequence phylogeny
Brazil,Americas,2005,Detection and characterization of rabies virus in Southern Brazil by PCR amplification and sequencing of the nucleoprotein gene
Brazil,Americas,2011,Evolutionary history of dog rabies in Brazil
Brazil,Americas,2022,Genotyping of rabies positive samples isolated from animals in Mato Grosso and Rond¬ônia - Brazil
Brazil,Americas,2017,Glycoprotein-G-gene-based molecular and phylogenetic analysis of rabies viruses associated with a large outbreak of bovine rabies in southern Brazil
Brazil,Americas,2009,Molecular characterization of Rabies Virus isolates from dogs and crab-eating foxes in Northeastern Brazil
Brazil,Americas,2012,"MOLECULAR EPIDEMIOLOGY OF ANIMAL RABIES IN THE SEMIARID REGION OF PARAIBA, NORTHEASTERN BRAZIL"
Brazil,Americas,2012,Molecular epidemiology of livestock rabies viruses isolated in the northeastern Brazilian states of Para√≠ba and Pernambuco from 2003 - 2009
Brazil,Americas,2006,Molecular epidemiology of rabies from Maranhão and surrounding states in the northeastern region of Brazil
Brazil,Americas,2006,Molecular epidemiology of rabies virus strains isolated from wild canids in Northeastern Brazil
Brazil,Americas,2012,Phylogenetic analysis of partial RNA-polymerase blocks II and III of Rabies virus isolated from the main rabies reservoirs in Brazil
Brazil,Americas,2013,"Phylogenetic analysis of rabies virus isolates from herbivores from border region between northeast of Sao Paulo state and south of Minas Gerais, Brazil, from 2000 to 2009."
Brazil,Americas,2020,Phylogenetic analysis of rabies viruses isolated from cattle in southern Brazil
Brazil,Americas,2007,Phylogenetic characterization of rabies virus isolates from Carnivora in Brazil
Brazil,Americas,2013,Phylogeographic dispersion and diversification of rabies virus lineages associated with dogs and crab-eating foxes (Cerdocyon thous) in Brazil
Brazil,Americas,2011,Phylogeography of rabies virus isolated from dogs in Brazil between 1985 and 2006
Brazil,Americas,2012,Rabies in southeast Brazil: a change in the epidemiological pattern
Brazil,Americas,2006,"Rabies virus maintained by dogs in humans and terrestrial wildlife, Ceará State, Brazil"
Brazil,Americas,2005,Rapid discrimination of rabies viruses isolated from various host species in Brazil by multiplex reverse transcription-polymerase chain reaction
Brazil,Americas,2008,Species Determination of Brazilian Mammals Implicated in the Epidemiology of Rabies Based on the Control Region of Mitochondrial DNA
Brazil,Americas,2017,The history of rabies in the Western Hemisphere
Burkina Faso,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Burkina Faso,Africa,2007,"Phylogenetic analysis of rabies viruses from Burkina Faso, 2007"
Cambodia,Asia,2016,Evidence of two distinct phylogenetic lineages of dog rabies virus circulating in Cambodia
Cameroon,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Cameroon,Africa,2017,Molecular characterization and phylogenetic relatedness of dog-derived Rabies Viruses circulating in Cameroon between 2010 and 2016
Central African Republic,Africa,2016,Large-Scale Phylogenomic Analysis Reveals the Complex Evolutionary History of Rabies Virus in Multiple Carnivore Hosts
Central African Republic,Africa,2016,Revealing the Micro-scale Signature of Endemic Zoonotic Disease Transmission in an African Urban Setting
Chad,Africa,2008,Evolutionary history and dynamics of dog rabies virus in western and central Africa
Chad,Africa,2008,Rabies Diagnosis for Developing Countries
Chad,Africa,2017,Vaccination of dogs in an African city interrupts rabies transmission and reduces human exposure (report) (propose for the paper dicussion on lab meeting )
Chile,Americas,2017,The history of rabies in the Western Hemisphere
China,Asia,2008,"An outbreak of pig rabies in Hunan province, China"
China,Asia,2011,"An outbreak of sheep rabies in Shanxi province, China"
China,Asia,2018,Animal rabies in the People's Republic of China
China,Asia,2020,"Animal Rabies Surveillance, China, 2004-2018."
China,Asia,2010,Characterization of a rabies virus isolate from a ferret badger (Melogale moschata) with unique molecular differences in glycoprotein antigenic site III
China,Asia,2015,"Characterization of a virulent dog-originated rabies virus affecting more than twenty fallow deer (Dama dama) in Inner Mongolia, China"
China,Asia,2013,Characterization of a wild rabies virus isolate of porcine origin in China
China,Asia,2014,Comparison of complete genome sequences of dog rabies viruses isolated from China and Mexico reveals key amino acid changes that may be associated with virus replication and virulence
China,Asia,2013,"Complete Genome Sequence of a Rabies Virus Isolate from a Ferret Badger (Melogale moschata) in Jiangxi, China"
China,Asia,2017,"Cross-border spread, lineage displacement and evolutionary rate estimation of rabies virus in Yunnan Province, China"
China,Asia,2020,"Different rabies outbreaks on two beef cattle farms in the same province of China: Diagnosis, virus characterization and epidemiological analysis"
China,Asia,2015,Disease outbreaks caused by steppe-type rabies viruses in China
China,Asia,2022,"Diversity of rabies virus detected in Inner Mongolia, China, 2019-2021"
China,Asia,2017,"Dog-transmitted Rabies in Beijing, China"
China,Asia,2018,Emerging New Phylogenetic Groups of Rabies Virus in Chinese Ferret Badgers
China,Asia,2013,Epidemic and maintenance of rabies in Chinese ferret badgers (Melogale moschata) indicated by epidemiology and the molecular signatures of rabies viruses
China,Asia,2019,"Epidemiological and phylogenetic analysis of rabies virus isolated from humans in Henan province, China"
China,Asia,2018,Evolutionary analysis of rabies virus isolates from Guangxi Province of southern China
China,Asia,2010,Evolutionary dynamics of rabies viruses highlights the importance of China rabies transmission in Asia
China,Asia,2019,"Ferret badger rabies in Zhejiang, Jiangxi and Taiwan, China"
China,Asia,2010,Ferret badger rabies origin and its revisited importance as potential source of rabies transmission in Southeast China
China,Asia,2013,Genetic diversity and molecular evolution of the rabies virus matrix protein gene in China
China,Asia,2009,Genetic diversity of Chinese rabies viruses: evidence for the presence of two distinct clades in China
China,Asia,2022,"Genetic Diversity, Evolutionary Dynamics, and Pathogenicity of Ferret Badger Rabies Virus Variants in Mainland China, 2008-2018"
China,Asia,2011,"Genetic evidence for domestic raccoon dog rabies caused by Arctic-like rabies virus in Inner Mongolia, China"
China,Asia,2017,"Incidence of human rabies and characterization of rabies virus nucleoprotein gene in dogs in Fujian Province, Southeast China, 2002-2012"
China,Asia,2014,"Molecular characterization of a rabies virus isolate from a rabid dog in Hanzhong District, Shaanxi Province, China"
China,Asia,2006,Molecular characterization of rabies virus isolates in China during 2004
China,Asia,2009,Molecular characterization of the complete genome of a street rabies virus isolated in China
China,Asia,2014,"Molecular characterization of three ferret badger (Melogale moschata) rabies virus isolates from Jiangxi province, China"
China,Asia,2012,"Molecular characterization of viral G gene in emerging and re-emerging areas of rabies in China, 2007 to 2011"
China,Asia,2007,"Molecular epidemiology of rabies in Guangxi Province, south of China"
China,Asia,2009,Molecular epidemiology of rabies in Southern People's Republic of China
