Country,Region,partial,WGS,Gen1,Gen2,Gen3,incountry,phylodynamic
Afghanistan,Asia,1,0,1,0,0,0,0
Algeria,Africa,2,1,1,1,0,0,2
Argentina,Americas,1,0,1,0,0,0,1
Azerbaijan,Asia,2,0,2,0,0,0,0
Bangladesh,Asia,1,0,1,0,0,1,1
Belize,Americas,1,0,1,0,0,0,1
Benin,Africa,1,1,0,1,0,1,1
Bhutan,Asia,1,0,1,0,0,0,0
Bolivia,Americas,1,0,1,0,0,0,1
Botswana,Africa,2,1,1,1,0,1,1
Brazil,Americas,20,0,20,0,0,11,4
Burkina Faso,Africa,2,1,1,1,0,1,1
Cambodia,Asia,1,0,1,0,0,0,1
Cameroon,Africa,2,1,1,1,0,1,1
Canada,Americas,1,0,1,0,0,0,1
Central African Republic,Africa,2,1,1,1,0,1,1
Chad,Africa,3,1,3,0,0,0,3
Chile,Americas,1,0,1,0,0,0,1
China,Asia,48,10,54,0,0,53,14
Colombia,Americas,4,0,4,0,0,3,2
Democratic Republic of the Congo,Africa,1,0,1,0,0,0,1
Costa Rica ,Americas,1,0,1,0,0,0,1
Cuba,Americas,1,0,1,0,0,0,1
Dominican Republic,Americas,1,0,1,0,0,0,1
Ecuador,Americas,1,0,1,0,0,0,1
Egypt,Africa,1,0,1,0,0,0,1
El Salvador,Americas,1,0,1,0,0,0,1
Ethiopia,Africa,7,1,6,1,0,0,3
Gabon,Africa,1,0,1,0,0,0,1
Gambia,Africa,1,0,1,0,0,0,1
Georgia,Asia,1,0,1,0,0,0,0
Ghana,Africa,2,1,0,2,0,2,1
Guatemala,Americas,1,0,1,0,0,0,1
Guinea,Africa,2,1,1,1,0,1,2
Haiti,Americas,1,0,1,0,0,0,1
Honduras,Americas,1,0,1,0,0,0,1
India,Asia,10,3,13,0,0,12,3
Indonesia,Asia,4,0,4,0,0,3,2
Iran,Asia,2,1,2,1,0,2,1
Iraq,Asia,3,0,3,0,0,0,1
Israel,Asia,2,1,1,0,0,1,0
Ivory Coast,Africa,2,1,1,1,0,1,2
Jordan,Asia,1,0,1,0,0,1,0
Kazakhstan,Asia,0,1,0,1,0,0,0
Kenya,Africa,3,3,2,2,2,3,1
Laos,Asia,1,0,1,0,0,1,1
Lesotho,Africa,1,0,1,0,0,1,1
Liberia,Africa,0,1,0,1,0,1,0
Madagascar,Africa,2,1,1,1,0,1,2
Malawi,Africa,1,0,1,0,0,0,0
Malaysia,Asia,1,0,1,1,0,1,1
Mali,Africa,2,0,2,0,0,0,1
Mauritania,Africa,2,1,1,1,0,1,2
Mexico,Americas,6,1,5,1,0,4,2
Mongolia,Asia,4,0,4,0,0,3,1
Morocco,Africa,2,0,2,0,0,0,2
Mozambique,Africa,2,0,2,0,0,0,1
Namibia,Africa,3,1,2,1,0,0,1
Nepal,Asia,0,1,1,0,0,1,0
Nicaragua,Americas,1,0,1,0,0,0,1
Niger,Africa,1,0,1,0,0,0,1
Nigeria,Africa,4,0,4,0,0,0,1
Oman,Asia,2,0,2,0,0,2,0
Pakistan,Asia,1,0,1,0,0,1,0
Panama,Americas,1,0,1,0,0,0,1
Paraguay,Americas,1,0,1,0,0,0,1
Peru,Americas,1,0,1,0,0,0,1
Philippines,Asia,7,0,7,0,0,7,2
Puerto Rico,Americas,1,0,1,0,0,0,1
Qatar,Asia,1,0,1,0,0,0,0
Russia,Asia,3,0,2,0,1,2,0
Rwanda,Africa,1,0,1,0,0,0,1
Saudi Arabia,Asia,1,0,1,0,0,1,0
Senegal,Africa,2,0,2,0,0,0,1
Sierra Leone,Africa,1,0,1,0,0,0,1
South Africa,Africa,16,0,16,0,0,14,3
South Korea,Asia,4,0,4,0,0,4,0
Spain,Africa,1,0,1,0,0,0,1
Sri Lanka,Asia,2,1,2,0,0,2,1
Sudan,Africa,2,0,2,0,0,0,0
Taiwan,Asia,4,1,4,1,0,5,3
Thailand,Asia,5,0,5,0,0,5,2
Trinidad & Tobago,Americas,1,0,1,0,0,0,1
Tunisia,Africa,4,0,4,0,0,0,3
Turkey ,Asia,2,1,1,1,0,2,1
Uganda,Africa,2,0,2,0,0,0,0
United Arab Emirates,Asia,1,0,1,0,0,1,0
United Republic of Tanzania,Africa,9,6,9,4,4,4,7
Uruguay,Americas,1,0,1,0,0,0,1
Venezuela,Americas,1,0,1,0,0,0,1
Vietnam ,Asia,2,0,2,0,0,2,0
West Indies,Americas,1,0,1,0,0,0,0
Zambia,Africa,2,0,2,0,0,0,0
Zimbabwe,Africa,3,0,3,0,0,1,1
